"x","y"
3706,8070
3252,8761
3700,8055
3329,8221
3300,7519
3184,8514
3072,9062
2564,8817
2857,8507
2898,8783
3154,8175
3191,8170
3561,7883
3482,7826
4239,8226
4262,8330
3946,7996
3756,8240
3504,8524
3346,7541
3194,7929
3681,8068
2589,8641
3563,7656
3160,9031
3458,8501
3249,8217
2922,8523
3388,8314
3137,8517
3122,8877
3606,7687
4066,8571
3545,8540
3049,8662
3766,8778
4138,7828
3793,8280
3663,8100
2902,8522
3796,8482
3631,7623
3091,8126
3682,8765
4103,8507
2719,8726
4157,8284
4091,8557
3384,9000
3856,8748
3796,8763
2737,7764
3279,8007
2806,8590
3633,8973
2796,8323
2965,7686
2801,8678
2804,7752
3544,8156
2571,7551
2614,7548
3292,8011
3165,7934
3256,7694
3093,7771
2770,8367
2862,8095
2953,7977
2607,7568
2534,8279
2969,7978
2707,7677
2640,7993
2741,8099
3225,8211
2630,7517
2719,7534
2886,7782
3550,8223
2786,7696
2719,7757
3782,8206
2784,7734
2735,7926
3196,7733
2693,8079
3415,8464
3421,8484
3930,7975
3103,7792
2826,8288
3123,8003
2809,8291
3647,8985
3118,8729
2990,7758
3467,7812
2845,7582
2782,8351
2767,8718
2811,7955
3403,7703
3786,8229
2595,8972
3225,8198
2946,7687
3121,9035
2545,8300
3792,8323
3063,7859
2754,7923
2810,8607
3179,7926
3137,8040
3690,8299
4070,8530
2886,7665
2714,8105
2700,7925
3195,8281
3515,8033
3012,8312
3792,8248
3104,8721
2652,7985
3458,7791
2906,7970
2658,8137
4046,7985
2543,7909
3918,7921
2554,7942
3089,7548
2880,8242
2504,7575
2511,7878
2593,7822
2573,7863
3554,8078
2684,7817
2600,7857
3310,8999
3570,8077
2643,8083
2611,7633
3628,8086
2840,8246
2543,8054
2694,7565
3237,8232
3509,8065
2776,8134
3311,8939
3179,7695
3484,7558
3111,8069
2612,8852
3536,7618
3915,7678
3131,8491
3492,7527
3609,8079
3896,7513
3692,7834
2750,7855
2678,7891
3578,7640
2686,8109
3414,8013
2921,7738
2534,8058
2514,7838
2689,7594
3477,7845
3701,7744
3489,8660
3080,7788
2541,8073
3218,8502
2581,7737
2636,7637
2611,7595
3391,7858
2577,7819
3834,7781
2598,7770
3941,7892
2743,7903
3469,7836
3111,8499
2568,7694
2895,8220
3069,8078
2658,7664
2569,8137
3347,7738
2564,7893
3336,7814
2842,7779
2545,8367
2973,7735
2553,7684
2518,7578
2788,7645
2728,8447
3945,7673
2559,7595
2586,7679
2792,7813
3579,8066
2543,7746
2576,7773
2819,7732
2749,8445
3884,8251
3380,7796
2791,8233
2825,8252
2582,7848
2524,7662
2543,7627
2575,8106
3365,7511
3025,8565
2648,7743
3813,8356
2984,7711
2636,8367
2556,7571
2534,7562
3166,7685
3059,7761
2501,7548
2624,8021
2869,8544
2842,8581
2671,7655
2949,7743
2597,8133
3384,7811
2501,8099
2523,8651
3537,8066
3489,8862
3119,7609
3505,8164
2660,7805
3107,7629
2821,8730
